Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
30.04.2011;531,7699;2,6528;1410,6792;94,8902;96,3777;0,043;0,06143;1242,23
31.05.2011;520,3392;2,7491;1430,4645;95,3366;96,9475;0,0445;0,06061;1251,71
30.06.2011;512,1403;2,742;1404,2887;95,2345;96,5405;0,0469;0,05781;1267,53
31.07.2011;503,8021;2,7824;1401,779;95,3189;96,2149;0,0471;0,05794;1273,39
31.08.2011;466,9997;2,8646;1337,7673;95,5818;96,2149;0,0472;0,05614;1288,51
30.09.2011;422,9091;3,2852;1389,341;95,7269;96,2963;0,0476;0,05918;1283,9
31.10.2011;468,221;3,1321;1466,515;95,5294;96,9475;0,0491;0,05734;1297,98
30.11.2011;454,205;3,346;1519,7699;95,4489;97,5987;0,0497;0,05924;1291,96
31.12.2011;453,2873;3,4443;1561,2574;95,2134;98,0057;0,0499;0,05892;1299,91
31.01.2012;479,6445;3,2382;1553,1848;95,6324;98,6569;0,0499;0,05578;1318,52
29.02.2012;503,7771;3,0842;1553,7493;96,0534;99,0639;0,0496;0,05461;1327,63
31.03.2012;507,1231;3,104;1574,1101;96,7829;99,5523;0,0494;0,05502;1332,59
30.04.2012;501,3238;3,1549;1581,6265;97,0753;100,1221;0,0495;0,05409;1340,41
31.05.2012;456,3761;3,5494;1619,8613;96,9614;100,2849;0,0511;0,05449;1342,2
30.06.2012;478,916;3,3345;1596,9454;96,8192;100,4477;0,0513;0,05149;1361,09
31.07.2012;485,4723;3,3433;1623,0795;96,6614;99,9593;0,0511;0,04866;1382,34
31.08.2012;496,0281;3,3147;1644,1843;97,1994;99,6337;0,0499;0,04846;1390,22
30.09.2012;511,6511;3,1938;1634,1113;97,6331;99,7151;0,0492;0,04691;1401,74
31.10.2012;508,2408;3,1876;1620,0684;97,5951;100,1221;0,0473;0,04574;1415,82
30.11.2012;514,7399;3,1543;1623,6441;97,1327;100,2035;0,0449;0,04024;1452,17
31.12.2012;526,3991;3,0935;1628,4156;96,8711;100,2849;0,0411;0,0373;1474,35
31.01.2013;550,6495;3,0876;1700,1854;97,1576;100,3663;0,0395;0,03924;1466,62
28.02.2013;550,5638;3,1696;1745,067;97,9533;100,3663;0,0373;0,03974;1461,4
